ind_id,ind_definition,datasource,reportyear,burden,tenure,race_eth_code,race_eth_name,income_level,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,total_households,burdened_households,percent,LL95CI,UL95CI,SE,rse,CA_decile,CA_RR,version
106,Percent of households spending 30% or more of annual income on rent or mortgage,ACS,2006-2010,">= 30% of monthly household income consumed by monthly, gross rent or selected housing costs",Combined rent-/mortgage-paying households,9,Total,All income levels,CT,6073018700,187,San Diego,6073,San Diego,9,"5,591","4,575",81.82793776,,,,,1,1.524527138,7/29/2014 0:00
106,Percent of households spending 30% or more of annual income on rent or mortgage,ACS,2006-2010,">= 30% of monthly household income consumed by monthly, gross rent or selected housing costs",Combined rent-/mortgage-paying households,9,Total,All income levels,CT,6073990100,9901,San Diego,6073,San Diego,9,,,,,,,,,,7/29/2014 0:00
106,Percent of households spending 30% or more of annual income on rent or mortgage,ACS,2006-2010,">= 30% of monthly household income consumed by monthly, gross rent or selected housing costs",Combined rent-/mortgage-paying households,9,Total,All income levels,CT,6073000100,1,San Diego,6073,San Diego,9,"1,083",616,56.8790397,42.23485805,71.52322136,7.471521253,17.32688976,4,1.059707014,7/29/2014 0:00
106,Percent of households spending 30% or more of annual income on rent or mortgage,ACS,2006-2010,">= 30% of monthly household income consumed by monthly, gross rent or selected housing costs",Combined rent-/mortgage-paying households,9,Total,All income levels,CT,6073000201,2.01,San Diego,6073,San Diego,9,899,474,52.72525028,35.96094475,69.48955581,8.553217109,18.09256984,6,0.982318229,7/29/2014 0:00
106,Percent of households spending 30% or more of annual income on rent or mortgage,ACS,2006-2010,">= 30% of monthly household income consumed by monthly, gross rent or selected housing costs",Combined rent-/mortgage-paying households,9,Total,All income levels,CT,6073000202,2.02,San Diego,6073,San Diego,9,"1,929",968,50.18144116,38.8827929,61.48008942,5.764616458,11.57122284,7,0.934924806,7/29/2014 0:00
106,Percent of households spending 30% or more of annual income on rent or mortgage,ACS,2006-2010,">= 30% of monthly household income consumed by monthly, gross rent or selected housing costs",Combined rent-/mortgage-paying households,9,Total,All income levels,CT,6073000300,3,San Diego,6073,San Diego,9,"2,460","1,192",48.45528455,38.12837875,58.78219035,5.26882949,10.87359106,8,0.902764976,7/29/2014 0:00
106,Percent of households spending 30% or more of annual income on rent or mortgage,ACS,2006-2010,">= 30% of monthly household income consumed by monthly, gross rent or selected housing costs",Combined rent-/mortgage-paying households,9,Total,All income levels,CT,6073000400,4,San Diego,6073,San Diego,9,"2,064",979,47.43217054,35.87620519,58.98813589,5.895900688,12.43017265,8,0.883703454,7/29/2014 0:00
106,Percent of households spending 30% or more of annual income on rent or mortgage,ACS,2006-2010,">= 30% of monthly household income consumed by monthly, gross rent or selected housing costs",Combined rent-/mortgage-paying households,9,Total,All income levels,CT,6073000500,5,San Diego,6073,San Diego,9,"1,353",621,45.89800443,33.34724731,58.44876156,6.403447514,13.9514726,8,0.855120577,7/29/2014 0:00
106,Percent of households spending 30% or more of annual income on rent or mortgage,ACS,2006-2010,">= 30% of monthly household income consumed by monthly, gross rent or selected housing costs",Combined rent-/mortgage-paying households,9,Total,All income levels,CT,6073000600,6,San Diego,6073,San Diego,9,"1,657",731,44.11587206,33.82691906,54.40482506,5.249465815,11.89926793,9,0.821917868,7/29/2014 0:00
106,Percent of households spending 30% or more of annual income on rent or mortgage,ACS,2006-2010,">= 30% of monthly household income consumed by monthly, gross rent or selected housing costs",Combined rent-/mortgage-paying households,9,Total,All income levels,CT,6073000700,7,San Diego,6073,San Diego,9,"1,919",743,38.71808233,28.78927614,48.64688852,5.065717444,13.08359593,10,0.721352253,7/29/2014 0:00
